document_id,category,service,title,file,processed_file,published_at,source_url,source_status,sha256,text_sha256
student_discipline_measures_2025-09-01,discipline,违纪处分,北京邮电大学学生违纪处分管理办法,airag/data/raw/discipline/student_discipline_measures_2025-09-01.html,airag/data/processed/discipline/student_discipline_measures_2025-09-01.md,2025-09-01,https://xsc.bupt.edu.cn/info/1065/1282.htm,copied,004C77D0BAF5AD28D2555377FC901A495A53CA1C32DF503A79EBAEB4F063EF37,C9C8B781CA09B1ABA0914F00BD165975A21D40ADE3D9EED3ED55B9826EC79F37
donated_scholarship_rules_2026-04-21,scholarship,社会捐助奖助学金,北京邮电大学学生社会捐助奖助学金管理办法,airag/data/raw/scholarship/donated_scholarship_rules_2026-04-21.html,airag/data/processed/scholarship/donated_scholarship_rules_2026-04-21.md,2026-04-21,https://xsc.bupt.edu.cn/info/1065/1697.htm,copied,233B77B0581DCCB1808227785413C84A71916D856FD073A982F959224FCD099D,F1522A79A66AC43898FAE67D59BBDF04D953C9F33BF3F1599F454350DA5431DA
national_encouragement_scholarship_rules_2025-09-01,scholarship,本科生国家励志奖学金,北京邮电大学本科生国家励志奖学金评审实施细则,airag/data/raw/scholarship/national_encouragement_scholarship_rules_2025-09-01.html,airag/data/processed/scholarship/national_encouragement_scholarship_rules_2025-09-01.md,2025-09-01,https://xsc.bupt.edu.cn/info/1065/1496.htm,copied,608E0C2964B6E69228358B2497670033178654DE47A19025EB980E3E1FC1B3ED,090C2F6CBB872FF445CEEB80293E7CF2BB8A5ED72424B9B478AE6D58690AB802
national_scholarship_rules_2025-09-01,scholarship,本科生国家奖学金,北京邮电大学本科生国家奖学金评审实施细则,airag/data/raw/scholarship/national_scholarship_rules_2025-09-01.html,airag/data/processed/scholarship/national_scholarship_rules_2025-09-01.md,2025-09-01,https://xsc.bupt.edu.cn/info/1065/1495.htm,copied,F7FC9750A1A8545EC986A0B725CC14A45EEA46770C7BFD599583AAC35BFDFE43,C92693B148EFFB07B47CE7BA72C80C4AAA1D931BF9879C8C6FAB0DFD080F01CA
student_aid_measures_2025-09-01,scholarship,奖助学金,北京邮电大学学生奖助学金管理办法,airag/data/raw/scholarship/student_aid_measures_2025-09-01.html,airag/data/processed/scholarship/student_aid_measures_2025-09-01.md,2025-09-01,https://xsc.bupt.edu.cn/info/1065/1493.htm,copied,C4FACE894F4E7881A7C33D9167092F7F6FA38E4024464BC964285369659D9064,5326E2F94708E07FDE4260A23D65207B68B186EDB7FC895594306A283815BA64
graduate_assistantship_rules_2026-04-21,student_development,研究生三助,北京邮电大学研究生三助工作实施办法,airag/data/raw/student_development/graduate_assistantship_rules_2026-04-21.html,airag/data/processed/student_development/graduate_assistantship_rules_2026-04-21.md,2026-04-21,https://xsc.bupt.edu.cn/info/1065/1699.htm,copied,A6E0F08E7644CA30B1E1DF9ABAFD9354007CFF5EBC4BA3B11885662B8ADB81E2,B50BB5204C598AA0FF3984F06B94F4F0F47A453617A033010751F6E767A12B12
undergraduate_quality_evaluation_2025-12-30,student_development,综合素质测评,北京邮电大学本科生综合素质测评办法,airag/data/raw/student_development/undergraduate_quality_evaluation_2025-12-30.html,airag/data/processed/student_development/undergraduate_quality_evaluation_2025-12-30.md,2025-12-30,https://xsc.bupt.edu.cn/info/1065/1694.htm,copied,614D47EB0BD0DB35C1E9C710FFF54D0F10FD684AF87C471216EFC4624EA682E9,8AFCCACCA1A5A5F377E26CB7E97C4EAF20A4658E0A58DE14049AD569D7876428
student_management_regulations_2025-09-01,student_status,学生管理,北京邮电大学学生管理规定,airag/data/raw/student_status/student_management_regulations_2025-09-01.html,airag/data/processed/student_status/student_management_regulations_2025-09-01.md,2025-09-01,https://xsc.bupt.edu.cn/info/1065/1281.htm,copied,B07D47ACACB75A27C33E20AAA7A6D73354918377AD2199C2ADEC9F9161476B05,757808AADB21D67FD81073634D2A4C2F83677B966699FCF2CE23CFFDBF108600
graduate_registration_notice_2025-09-16,student_status,研究生报到,关于做好2025级研究生新生报到相关工作的通知,airag/data/raw/student_status/graduate_registration_notice_2025-09-16.html,airag/data/processed/student_status/graduate_registration_notice_2025-09-16.md,2025-09-16,https://xsc.bupt.edu.cn/info/1022/1603.htm,downloaded,3F76CFEBEC9628EA2321BE4A868831B70D7404256C0FAEA654EB6D4F1752D76C,F4A30F44DD8A1D7E8D46AB73BD64528D9A6D658D0FC744A01217B6D5235A95D5
student_affairs_office_services,student_status,学生事务服务,学生处科室中心服务信息,airag/data/raw/student_status/student_affairs_office_services.html,airag/data/processed/student_status/student_affairs_office_services.md,,https://xsc.bupt.edu.cn/jgjs/kszx.htm,downloaded,2B5016253A89A5296B010BE0F82B460720710C06BE7CA842A979ACBD7F526709,718FADD8ED6E61C103195D1FCF146493DBF1972993B7BA148D9D02EFE5262E20
military_service_policy,student_status,服兵役教育资助,服兵役高等学校学生国家教育资助政策,airag/data/raw/student_status/military_service_policy.html,airag/data/processed/student_status/military_service_policy.md,,https://xsc.bupt.edu.cn/info/1065/1329.htm,downloaded,30228B91D390419EE491EC00C40B192E867CC200BEB186417501F60564DDFB42,3E3F3C6017196924C9759D89445D0F68147A656DC38263CBFB9A35CE8EB01FBF
graduate_national_aid_rules,scholarship,研究生国家助学金,北京邮电大学研究生国家助学金管理办法,airag/data/raw/scholarship/graduate_national_aid_rules.html,airag/data/processed/scholarship/graduate_national_aid_rules.md,,https://xsc.bupt.edu.cn/info/1065/1567.htm,downloaded,0A01B42AE8651062547011A0C59256D4EF04AC032FB1693C6AF5E3293C00FD7F,3DF24A0093B93DE9627E384781E74A19598FB6D325B8C92879EC01D83B02D76E
work_study_rules,work_study,勤工助学,北京邮电大学学生勤工助学管理办法,airag/data/raw/work_study/work_study_rules.html,airag/data/processed/work_study/work_study_rules.md,,https://xsc.bupt.edu.cn/info/1065/1488.htm,downloaded,598F451D1EBE75F5A0E2B9950E76586B5B58BE1E3FC80FE2D83269CC7E5B5CC9,CA47BE8554C96D326994D1E682E99BD9369CB237BBBFB6C134F2F17322E8EF83
undergraduate_major_transfer_process,major_transfer,转专业,普通本科生校内转专业工作流程,airag/data/raw/major_transfer/undergraduate_major_transfer_process.pdf,airag/data/processed/major_transfer/undergraduate_major_transfer_process.md,,https://jwc.bupt.edu.cn/__local/D/12/88/D9AE1B8FF8F64083EAA939CF4D3_D8E91EED_597A0.pdf?e=.pdf,downloaded,9E42B3650BA36107BDC4521637BD2E37AEE8EF42940E4689564E925F61855D45,B5E73AE23D18BAFFDAC9127E7CF3F250A7A95399AB81CE57BE5AB0B884A9FD68
pre_graduation_repeat_year_process,graduation,延长学习年限,普通本科生毕业年级延长学习年限工作流程,airag/data/raw/graduation/pre_graduation_repeat_year_process.pdf,airag/data/processed/graduation/pre_graduation_repeat_year_process.md,,https://jwc.bupt.edu.cn/__local/4/F0/C2/93FB88F795B14B87701E4D96E68_BB364173_7C9EB.pdf?e=.pdf,downloaded,CDF6476A911E79F6662C1D43864E306F8C86251443D3BD336716C065250F49A3,4865BB85C1CADAB92C9F25E382ED5FA0DADA8876DE8A9C64E4F231B5E6A87127
completion_process,graduation,结业申请,普通本科生结业申请工作流程,airag/data/raw/graduation/completion_process.pdf,airag/data/processed/graduation/completion_process.md,,https://jwc.bupt.edu.cn/__local/8/DA/8B/A6357393354F2CBAA9FADACF524_ECE21C40_8617A.pdf?e=.pdf,downloaded,DEFCD40C7AE2E5D98D892B1F3A446DF3D82BF978ED4D25729FBCE19EF00D75AB,A2AADEA7E6C7126A3368D0AC487C32AC4BB9721932564B786AF51203F7A1E847
